"","city","state","postal_code","latitude","longitude","stars","review_count","categories","GoodForKids","RestaurantsReservations","Caters","NoiseLevel","RestaurantsTakeOut","RestaurantsPriceRange2","OutdoorSeating","WiFi","RestaurantsAttire","RestaurantsDelivery","BusinessAcceptsCreditCards","dessert","latenight","lunch","dinner","brunch","breakfast","garage","street","validated","lot","valet","OpenSundays","Open7days","posreview","negreview","posreview2016","negreview2016","posreview2017","negreview2017","posreview2018","negreview2018","checkedin2016","checkedin2017","checkedin2018","checkedin100"
"1","Madison","WI",53718,43.1477343983,-89.2879148133,2.5,3,"Sandwiches, Fast Food","True","False",NA,NA,"True","1","False","no","casual","False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"2","Madison","WI",53716,43.07051,-89.3254733,4.5,47,"Sandwiches, Fast Food","True","True","False","quiet","True","2","False","no","casual","False","True","False","False","False","False","False","False","False","False","False","True","False",1,0,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0
"3","Charlotte","NC",28210,35.090561,-80.867977,3.5,43,"Sandwiches, Fast Food","True","False","False","quiet","True","1","False","no","casual","True","True","False","False","True","False","False","True","False","False","False","False","False",1,1,13,1,6,1,5,1,11,0,1,1,1,1
"4","Champaign","IL",61821,40.131811,-88.258669,2.5,12,"Sandwiches, Fast Food","True","False","True","very_loud","True","1","False","no","casual","True","True","False","False","False","False","False","False","False","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0
"5","Madison","WI",53705,43.072599,-89.428861,4,185,"Nightlife, Bars","False","True","True","average","True","2","False","no","casual","False","True","False","False","False","True","False","False","False","True","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"6","Charlotte","NC",28208,35.240404,-80.901674,4.5,3,"Fast Food, American (Traditional)",NA,NA,NA,NA,"True",NA,NA,NA,NA,"False","True",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"7","Wesley Chapel","NC",28104,35.0006165575,-80.6940740981,4.5,71,"Fast Food, American (Traditional)","True","False","True","average","True","1","True","free","casual","False","True","True","False","True","True","False","False","False","False","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"8","Belleville","WI",53508,42.9291245,-89.5259126,5,10,"American (Traditional), Nightlife","True","False",NA,NA,"True","1","False","free","casual","False","True","False","False","False","False","False","False",NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"9","Madison","WI",53704,43.1016722349,-89.3645954132,4.5,332,"Fast Food, American (Traditional)","True","False","True","average","True","1","True","free","casual","True","True","False","False","True","False","False","False","False","True","False","True","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1
"10","Monona","WI",53716,43.0544295,-89.3260679,3.5,16,"Fast Food, American (Traditional)","False",NA,NA,NA,"False","2",NA,NA,"casual","False",NA,"False","False","False","False","False","False","False","False","False","False","False",1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0
